Sentence,Emotion 1,Emotion 2
"Had the Ethiopian food, which tasted as good as it smelled and the staff serving were sweet, friendly and helpful.",Trust,
"Halfway round the bedrooms I felt a terrible sense of oppression, sadness and despair, so bad that I had to leave the building.",Anticipation,
Happy to pay money to English Heritage to go in and see the ruins of the castle and have a walk around the grounds.,Trust,
"Happy to take your money for a 2 year old to enter, but fail to tell you there is nothing for very young children to do.",Sadness,
Have visited the tearooms quite a few times over the years and always found it to a very pleasant experience with excellent food.,Joy,
"Having a fully stocked shop locally is brilliant, and the expertise in the shop seem to be good.",Joy,
"Having arrived at around 10am on a sunny, Sunday morning at the end of September, I had high hopes of this being a good day out.",Anticipation,
Having been Chessington quite a few times when I was younger we were quite excited to take my children for the first time.....,Anticipation,
Having been to other farms I had high hopes but sadly for the entrance price it didn't give good value for money.,Disgust,
"Having bought excellent cheeses from this shop over the years, I was delighted when a friend gave me a voucher for a birthday present.",Joy,
"Having complained to the beauty manager - I felt that I was treated in a derogatory, condescending and patronizing manner, not even an apology.",Anger,
"Having had the good fortune to visit on a gorgeously sunny day, this was a great place to take an inquisitive young child.",Anticipation,
"Having paid a substantial amount of money for the afternoon, we expected to feel special, and sadly this was not the case.",Sadness,
"Having read the glowing reviews I was expecting something pretty good, but it was a real disappointment.",Sadness,
Having read the majority of reviews felt confident that this would be a a good experience and expected a good level of service.,Trust,
"Having received a half-day experience voucher as a present, I expected to enjoy my session with the birds but it exceeded all my expectations.",Surprise,
"Having spent a lot of money on what we hoped would be an enjoyable experience, we did not expect to be treated as if we were at an army bootcamp.",Anger,
Having visited Gullivers (Warrington) many times we were expecting the usual friendly staff and good value for money.,Trust,
"Having watched the programme on the making of the farm and other programmes with Jimmy Docherty presenting, we had high hopes for the visit.",Sadness,
He left feeling unhappy and the money I paid seems wasted.,Sadness,
He made our experience feel so real and felt like we were in the shoes of the real people.,Joy,Surprise
He ruined a lovely day and made me feel as though I had wasted a lot of time and money.,Anger,
"He then insulted me by telling me my girlfriend she's ""punching above her weight"" made me cry and ruined my birthday.",Anger,
"He was clearly enthusiastic and proud to lead his team, and happy to share what he knew to make the evening lovely.",Trust,
He was given no instruction to guide the horse around the tree and subsequently fell off the horse.,Anger,
"He was super professional, made us feel very safe and could assure us that the guy would be dealt with.",Trust,
Hello folks I paid my money like everyone else any got treated like a leper!,Anger,
Helpful instructors who made you feel relaxed and let you enjoy the experience through their advice.,Trust,
"Helpful stewards, a good shop and a wonderful, peaceful place to spend some time.",Joy,
Highclere feels like they are just after your money & unwilling to make any real effort to make it a magical experience.,Anger,
"His inspired vision to provide quality housing, schooling, recreation and hospital proved him a true philanthropist.",Trust,
"His wording was rude and even some racist insults were felt, and our good mood was pretty much destroyed.",Sadness,
Historically battlefield cafe has served nicely presented wholesome freshly prepared food.,Joy,
"Hope that the shops outside Fairhill enjoy some shared success, there's some interesting ones.",Anticipation,
Hope the trust can improve the visitor experience for children before the school holidays.,Anticipation,Trust
Hope there will be some management shake-up and someone will take care of the complex which would otherwise offer such a wonderful experience.,Sadness,
"Hopefully by then, the volunteers might have had some training in how to treat paying visitors with courtesy and respect!",Sadness,
Hopefully the spa listens to my constructive criticism as I feel this spa has the potential to get a 5.,Anticipation,
Hoping that this special & magical place is treated with the respect it deserves.,Sadness,
"Hotel clean, polite and friendly staff, good food, quiet location in beautiful grounds.",Joy,
How can you not get ice cream at the ice cream farm when you've promised your children ice cream?,Surprise,
How wonderful that an organisation like the National Trust is supporting and encouraging modern artists like this.,Trust,
However as long as they offer entertainment passes in the deal you can enjoy the host of activities and fun the place has to offer.,Anticipation,
However as our experience was terrible and that our son felt so sad we felt we had to share it with others so that you are cautious about going here.,Sadness,
"However following a visit this week with a friend, we both felt very disappointed - this wasn't the museum we knew and loved.",Sadness,
However I enjoyed a game at top club rugby level in a friendly atmosphere shared by both sets of fans.,Joy,
"However I will say that once finally on the ride, our daughter was mesmerized so we were at least glad she enjoyed it after such a long wait!",Surprise,
However the roast beef was £12.99 which immediately raises the expectations of hoping for something pretty good.,Anticipation,
However the stress and utter unremitting negativity from the cashier really put a dampener on things.,Anger,
"However the toilets are dark and disgusting and I don't feel safe going in them, there should be some closer to the play area I feel.",Disgust,
However we felt the park just felt a bit unloved and bleak.,Sadness,
However we paid in cash and felt ashamed of been treated like outsiders.,Anger,
"However, be warned, as the garden centre within which the sanctuary is located is awful, run down, and with a feel of neglect.",Fear,
"However, I suffer with anxiety and being in large groups of people makes me feel very anxious so I waited with my partner.",Sadness,
"However, I would have preferred a more serene and less crowded spa experience, especially for this kind of money!",Disgust,
"However, the food was good and served hot, the service was good and the staff were pleasant.",Joy,
"However, the swim instructors are young, enthusiastic and empathetic to the children so that's good.",Joy,
"However, the tour guide is fundamental to the tour experience and I feel that on the day, the tour guide I had was just not the best available.",Sadness,
"I actually feel ashamed of the zoo for tourists as we have been in many zoos, both in the UK and abroad, and Edinburgh is definitely the worst.",Disgust,
I actually felt like I was finally getting my money's worth and the staff was wonderful.,Trust,
"I almost choked on a bit as well and that would have a very bad death, choking on overpriced non-tasty hot dog.",Fear,
"I also believe it's no where near as good for value of money any more, and the fact people now have to pay to just walk round is ridiculous.",Disgust,
I also forgot just how dark and gloomy it is inside the house - I actually left feeling a bit depressed.,Sadness,
"I also found out that the guide is only present during special circumstances such as school holidays, and that it is usually an audio guide.",Surprise,Trust
I always felt safe walking on my own and loved the peace and quiet of the park.,Trust,
I always find riding the tube to be a lovely experience most people are very helpful and friendly and always willing to assist.,Joy,
I am genuinely gutted to have lost all faith in using this spa again due to such awful customer service and care.,Anger,
I am in the process of appealing which I expect will be rejected but I still will continue to fight for justice in what I believe and will proceed through courts if necessary!,Anger,
I am normally the person finding the best in anything but cannot find it here - save your money and go elsewhere!,Anger,
"I am so proud of what the Heritage centre have done for the town of Pembroke Dock, and hope that they continue to go from strength to strength.",Joy,
I am sorry that I have had to complain but after spending a lot of money and feeling dissatisfied I feel the need to let you know my thoughts.,Sadness,
I am still in excruciating pain from her aggressive painful massage and i did not come out feeling refreshed and energised.,Anger,
"I am very disappointed in the experience that myself, my family and friends encountered on a visit to this so called family friendly and dog friendly Pub.",Sadness,
I am very glad I did not pay for that experience and feel sorry for the 'fast track' who would have paid over £20 each.,Sadness,
I am very happy to pay for good food and entertainment but this was a complete disappointment.,Disgust,
I am wiling to pay for a great spa experience where I feel relaxed and pampered and unfortunately this spa did not do that.,Sadness,
I arrived with my two grandchildren not expecting to swim myself but the pool looked so inviting and a friendly welcome I took the plunge!,,
I believe that I had done nothing to deserve this and felt that I had in fact been bullied out of a further understanding of the site.,Sadness,
I booked a laser party for 16 children and they were so excited and happy that made me feel a hero.,Anticipation,
I booked a spa day for my mum and I to celebrate her 50th birthday and our day left us feeling very disappointed!!,Sadness,
"I booked this day as a surprise for my husband's birthday, now I hope he returns the gift on my birthday!",Surprise,
I bought this as a present for a good friend for a landmark birthday; it was truly a wonderful experience.,Trust,
I came away very upset at what I had seen and also angry that I had given money to such a dreadful zoo.,Anger,
"I came away with a very good understanding of glass fusing, some wonderful pieces and feeling very inspired.",Joy,
I came here to celebrate my 18th birthday with my friends hoping I would have been fun-packed but sadly that's not the case.,Disgust,
"I came here with 3 other adults and 4 children aged 9 to 13, we all had a good time and were here for longer than we expected to be.",Surprise,
I came out feeling depressed and felt like I wanted to cry.,Sadness,
I came to London fully expecting a state of the art transit system that runs like a well-oiled machine.,Disgust,
I came to the Titanic spa this weekend for a one night break with my husband and sadly felt disappointed with our experience.,Sadness,
I came when I was younger with a school trip and really enjoyed this so thought it was worth another visit to see how this had developed.,Anticipation,
I can honestly say that it was the best birthday present I have received in a long long long time.,Surprise,
"I can only say we have found the place a lovely, quaint, peaceful, friendly, clean town to visit.",Trust,
I cannot believe that our council agreed to spend so much money on something that was not fit for purpose.,Anger,
I can't believe you have to pay for the audio guides as these are free at other attractions like the Concorde at the museum of flight.,Anger,Disgust
I cant express how humiliating of experience it was and and left during the show as I didn't feel like I was wanted there me and my girlfriend during the show.,Anger,
I can't understand why they can't provide good padding for a seat which isn't cheap so people can enjoy the shows.,Anger,
"I can't write a review based on a good experience, because in fact my experience was far from good.",Joy,
I certainly would not recommend this bar if you expect to be treated like a paying customer or even acknowledge as a human being!,Anger,
I chose Ardencote Spa for the last leg of our journey and had hoped for a luxurious treat to end our holiday.,Anticipation,
I completely respect the gentleman's achievements (who was leading the tour) and he deserves praise for volunteering his time and expertise to the museum.,Surprise,
"I could hear the sound of the battlefield and feel the fear, rage, and anguish.",Fear,
I did enjoy the museum it was very good the volunteers were helpful and so were the staff and it was a good trip.,Joy,
I did enjoy the rides thoroughly here but felt that the whole park is let down by some staff who are rude and unhelpful and terrible food.,Disgust,
"I did not think this event was a good value for money, as it was a gift we felt we were not in a position to comment.",Sadness,
I didnt like the feel of gravel under foot on a beach as I'm used to clean white beach sand.,Sadness,
"I do feel the high cost of entry needs to be better justified as, at present, it does feel like a lot of money for what is there.",Disgust,
I do not feel the money I paid was worth the experience even though I paid the discounted rate.,Sadness,
I do not no how this young inexperienced individual was employed to take calls to the general public with the fail mouth and threatening behaviour.,Anger,
I do not recommend anyone visiting during these zoo days as it is a complete waste of money and time.,Anger,
"I don't expect perfection but what I do expect is reasonable customer service, of which I don't feel I received.",Anger,Disgust
I dont expect them to be perfect at a festival but for the extra money we paid I expected a certain level of hygiene at-least.,Disgust,
I don't like being made to feel uncomfortable and I hope liberty look at their shopper experience.,Sadness,
I don't like to complain but feel that this place is over rated on here and would hate for others to waste their money.,Trust,
"I don't mind paying good money for a good day out, but this just wasn't a good day out.",Anger,
I don't really enjoy the shopping experience in here and the range of goods on offer doesn't sufficiently compensate.,Sadness,
I don't really understand what other reviewers are grumping about - it is a seal sanctuary therefore the focus is where it should be on caring for the rescued seals.,Trust,Joy
I don't usually post such a negative review but I felt compelled to inform people of how disappointing this zoo is.,Disgust,
"I dread to think how he felt having been away from home for so long, tired and no doubt hungry.",Sadness,
I enjoy coming here from time to time to see the top quality art and crafts on display.,Joy,
"I enjoy it there, the quizzes are great fun and the winners could take home a good cash prize.",,
"I enjoyed a film from Leeds Film Festival here, and it was great: good movie, good company, good atmosphere.",Joy,
"I enjoyed browsing the antique shop, and we all enjoyed the bookstall, gift shop, and children's toy area.",Joy,
"I enjoyed it, felt it was offered value for money and would like to return in the future.",Anticipation,
"I enjoyed my time there and was happy to see and 'feel' the history I had studied at school, suddenly come to life.",Joy,
I enjoyed my walk across it and came away with a feeling of hope and optimism.,Joy,
"I enjoyed running in this beautiful park, it is very large and you feel safe and it is nice to breathe healthy air",Trust,
"I enjoyed the entertainment, it was a light relief from the shock of the prices, felt sorry for them as they had abuse hurled at them from drunken louts!!",Anger,
"I enjoyed the Iron museum best, the kids liked Enginuity, but it is just like the (free) Science museum.",Joy,
"I enjoyed the pictures of birds and the best attraction,the weather was good but you have to take food and water and enjoy the flowers",Joy,
I entered the zoo with high expectations and soon found myself engulfed in a sense of sadness.,Sadness,
"I expected for the money that was paid, a far better amusement park with thrills and excitement!",Anticipation,
"I expected my visit with friends to the Ice Show to be a good experience, but there were problems which I think need addressing.",Anticipation,
I expected that after a long day at work I would be able to sit in peace and have a coffee while the children enjoyed themselves.,Anticipation,
"I fancied some time out of the sun, so planned this trip and bought my ticket online in advance.",Anticipation,
I fear that if there were to be a fire or emergency many people will be hurt or killed.,Fear,
I feel absolutely cheated to have paid £40.00 for an hour's horse ride and come away feeling this disheartened.,Sadness,
I feel absolutely heart broken and now instead of a relaxing experience I feel like my blood pressure is through the roof!,Sadness,
"I feel bad that I didnt like the show, I wanted to like it, I wanted to love it.",Sadness,
I feel extremely let down and upset that someone with a disability can be treated so disrespectfully and made to be felt like an outcast.,Anticipation,
I feel far more threatened when I see groups of drunks in the park and feel that more should be done to ban them!,Fear,
"I feel for the actors because they did a perfect job, the set was good, the production quality was also very high.",Trust,
I feel it is no longer good value for money and sad to say we won't be going back with our grandchildren.,Sadness,
"I feel its wasting of time to take photos there, and even it doesn't deserve money paid for entrance.",Anger,
I feel like I wasted a journey - and left feeling very upset.,Anger,
I feel like the management treated my wedding like a joke shop.,Anger,
"I feel like we did something wrong here, because otherwise I feel like we were cheated out of the £9 each we paid for the unguided tour...",Anger,
I feel like we were misinformed by the spa team who now refuse to accept responsibility for their actions or attempt reconciliation.,Anger,
I feel lucky to have found such an amazingly talented and passionate teacher who genuinely enjoys teaching at all levels!,Surprise,
"I feel ripped off for wasting not only our money but our time on this show, it was a DISASTER!",Anger,
"I feel sad that visitors, especially children, no longer get to see the house and farm how it was just a few years ago.",Sadness,
I feel sad writing this review because I was so very excited about winter wonderland but I left feeling irritated and disappointed.,Sadness,
I feel safe to call in on my own and there is always someone to chat to if you feel like it.,Trust,
I feel so sorry for the animals and also the poor parents paying good money to take their children here.,Sadness,
I feel that I could have done a much better job on my own hair and makeup and not wasted my money on this dreadful experience.,Sadness,
I feel that nirvana spa have stolen from me and I want what I have paid for or my money back!,Anger,
I feel that the management should address this issue and teach their 'security team' some manners and customer service skills.,Anger,
I feel the customer service we received was appalling as we were both made to feel like criminals and liars.,Anger,
I feel they should be ashamed of the lack of staff training and commitment to the consumers which pay good money for this kind of event,Anger,
I feel this is unacceptable and to pay to visit and then receive this treatment is totally unacceptable I would not recommend visiting this museum,Surprise,
I feel this place just needs a good clean and some nice smelling products in to make you feel better.,Disgust,
I feel totally deflated and very upset by the whole experience and feel like I have been used for money and lied too.,Sadness,
I feel very bad for my parents who had treated us to this and would not recommend anyone to go for a spa day unfortunately.,Sadness,
I feel very let down and embarrassed by this event and do not think I would go back as I feel I was treat very badly during this experience.,Sadness,
I fell upon this place purely by accident but felt like I had found a real treasure.,Surprise,
I felt a rush of panic then overwhelming disappointment at what a dull shadow this fabulous museum has become today.,Sadness,
"I felt and looked ridiculous, like an elephant on a skateboard, more importantly, I felt uncomfortable, unsafe, and not in full control.",Sadness,
I felt as if I had been transported back to the 50's and felt I needed a swim cap with flowers on it just to complete the feel.,Surprise,
I felt disappointed to have booked this as a birthday treat for my husband who loves Bombay Sapphire!,Sadness,
I felt extremely disappointed with today and felt it was a complete waste of money as we didn't get what we paid for at all.,Sadness,
"I felt I had received good value for money for the entrance fee charged, and enjoyed a very pleasant and interesting afternoon out.",Surprise,
"I felt I paid good money, but felt I'd been sent to purgatory.",Anger,
"I felt I should write a letter of complaint about this, as we were all made to feel extremely uncomfortable, and my mother in law is very upset.",Anger,
I felt I was watching a good third draft of a production that needed a brutal editing.,Anger,Disgust
"I felt impelled to write this as I feel it important to ensure other customers do not experience what my brother, my friend I experienced.",Anger,
I felt like 85 pounds for 5 of us was a waste of money wouldn't bother returning.,Anger,
I felt like she did a good job buffed and applied scrub and my feet felt squeaky clean.,Anticipation,
I felt like the audience were treated like herded sheep.,Anger,
I felt like they ruined a pleasant experience by actively forcing us to leave.,Joy,
I felt like we were being treated like criminals on a path we were allowed to walk on.,Anger,
I felt my time at Serenity loves was a happy and pleasant experience and would return here again.,Surprise,
I felt really bad for my Mother who spent a lot of money just so we could all have a good time.,Sadness,
I felt really sorry for families with young children who were excitedly expecting a magical event.,Disgust,
"I felt safe, the park felt clean and there was no issue in distancing.",Joy,
I felt she was under stress and didn't enjoy what she was doing and wanted it to be over in as short a time as possible and I felt very rushed (not what you need when having a massage!),Sadness,
"I felt so awful I leant in to fuss one of the rabbits who felt tiny, and was interupted by a woman screaming at me.",Sadness,
"I felt so relaxed, calm and collective which is unusual for me, to the point where as I lay there, I can just about feel my fingertips on the bed.",Joy,
I felt that I was treated appallingly and I left the same info as a rating when I left on the day.,Anger,
I felt that the £24 entrance fee was high but I hoped that the museum would be worth it.,Anticipation,
I felt that we had paid a substantial amount for our package and really would not expect to pay further extras for food!,Surprise,
I felt that we were being discriminated against because we had a Groupon voucher and felt like a second class citizen.,Anger,
I felt these were excellent value for money with good quality food and portion size.,Trust,
"I felt uneasy, I felt claustrophobic and felt we were being watched or followed.",Fear,
"I felt very ashamed of the history of it, and in truth felt there were no real winners in a moral sense.",Surprise,
"I felt very proud of this, our own, Scottish regiment with such a rich history and am very glad this museum is such a lovely tribute and memorial to all who served.",Surprise,
"I felt very sick that evening as the weather was very cold, and I just came out of the spa with bare legs, surely this is not how you treat a customer!",Sadness,
I find it surprising that the spa has been awarded 5 stars as this does not reflect in the experience we had.,Disgust,
I found all the shops very interesting and the cafes were serving good wholesome food and reasonable prices.,Joy,
I found her to be purposefully awkward and intentionally used her tone and certain words in sentences to make me feel uncomfortable.,Trust,
I found it to be clean and efficient but a little overpriced and not as high quality as I'd been led to believe.,Sadness,
I found the toilets by the entrance in a mess and the gents cubicle loos always blocked and toilet roll everywhere.,Disgust,
I found this area so upsetting every time we came here and left me feeling so hopeless and helpless.,Sadness,
I found this to be the best treatment I have had from a spa and left feeling it was worth the money paid - unlike at some other spas.,Trust,
I fully support the National Trust and pay entry to many of their wonderful venues all over the country.,Trust,
I get that these things are based on safety but it seems unfair that I had to pay top price and not get the top experience.,Anger,
"I got a lovely therapist, who was very sweet, friendly and a real credit to the spa!",Trust,
I got up and spoke to the lady who was not interested in my feelings at all and was not very professional I was a paying customer who I felt treated me terrible,Anger,
I guarantee that this park will leave you feeling that you've had a cracking day out for not a lot of money.,Anger,
"I had a lesson here and the lesson was good with a teacher who was friendly, approachable and an attentive teacher.",Joy,
"I had a long awaited Spitfire flight a birthday gift from friends ,who came to enjoy my flight with me.",Anticipation,
"I had a lovely day wandering around, and I think it was pretty good value for money.",Joy,
I had a lovely treatment I felt like I was floating in a cloud and Kerry was friendly and brilliant at her job.,Joy,
I had a wonderful evening my husband was also delighted with his wonderful birthday present.,Surprise,
I had an exceptionally good teacher at school who had taught the BBC choir and she was very particular on clarity of words.,Trust,Joy
"I had been at Escape Stirling before and really enjoyed it, so I had high hopes for Escape in Livingston.",Anticipation,
I had big hopes for the woodland spa and was so excited to be going with my new husband as a little mini moon celebration.,Anticipation,
"I had expected that the interior of the spa building would have some feel of a Georgian spa, but this couldn't be further from the truth.",Trust,
I had heard really positive stuff about the spa so as a birthday treat a friend treated me to the me time experience.,Anticipation,
I had high hopes for the spa given that it is the only thermal spa in the UK but felt massively disappointed.,Sadness,
"I had high hopes for this zoo after seeing the brochure, and being an animal lover this was one of the first attractions I had on my list.",Anticipation,
"I had high hopes of the museum, but came away feeling rather disappointed.",Sadness,
I had hoped that the shopping facilities would have improved and the opportunity to enjoy the marina complex would have been developed.,Sadness,
"I had never felt so unwelcome in a restaurant before, the service is just horrible and they treat their clients with no respect whatsoever.",Anger,
"I had pre-booked the lounge a few months in advance of a trip to the Caribbean, and had hoped this would make a good start to the holiday.",Anticipation,
I had read about this shop prior to our trip to Portree and was excited to find the shop was as adorable as I'd hoped.,Anger,
I had really only come to hear of them after the terrible terrorist attack but what a delightful surprise.,Surprise,
"I had received quite a lot of very great birthday money, and so I thought hey, why not, it is my birthday, time for a sweet treat.",Joy,
I had such a wonderful birthday spa break - a treat from my best friend .,,
"I had the great experience of the most lovely gentleman ,who was very pleasant and very helpful ,stopping for me to get cash ,very patient",Joy,
"I happened to come to Tremenheere on an evening when the Lime Tree Cafe was having an intimate concert, which I greatly enjoyed.",Surprise,
I hate horror and being scared so I was absolutely dreading coming here for my friend's birthday.,Sadness,
I hate leaving bad reviews but I don't want anyone else to suffer the same disappointment.,Anger,
I hate to leave a negative review but hope this saves people wasting their time and money on such a terrible zoo.,Anticipation,
"I hate to write negative reviews but honestly, it's too overpriced and the music is really bad and the staff is beyond rude.",Disgust,
"I have always felt on a high after coming out of an escape game, with this one I felt so sad that I had wasted my money.",Anger,
I have been a few times to the spa but took my mother for Mother's Day treat an we had a wonderful time.,Joy,
"I have been here several times before and if you enjoy a good shopping trip with good food and a good atmosphere, then this is the place for you.",Joy,
"I have been obliged to use the given rating scale, the lowest rating possible being 'terrible': the truth be it was far worse than that.",Disgust,
"I have been to stoke by nayland spa 6 times now and had a lovely time, I think next time I will return to them.",Joy,
I have been to this cafe on many occasions and up until now have enjoyed the food and found the staff friendly and pleasant.,Joy,
I have been to this show a number of times and each time we have had a fabulous time the entertainment good and ambiance are fantastic.,Joy,
I have complete respect for the guys that volunteer to put on the bird flying display and they are lovely lovely people.,Trust,
"I have eaten in this lovely pub before and been very happy as it has a good atmosphere, beautiful views the food is wholesome and the staff friendly.",Joy,
"I have filed a complained with gettransfer.com support with the whatsapp communication, and I found out that their support center is even worse than their drivers/providers.",Disgust,
"I have never been treated like this through my illness, I'm absolutely disgusted they treat me like this.",Disgust,
I have never been treated this way and I will NEVER be using this shop again and I will telling everyone I know about the way I was treated in this shop.,Anger,
I have never felt more unjustly treated by door staff in my life and I can safely say that everyone felt the same.,Anger,
I have never felt rushed and always feel I have received good value for money.,Trust,
"I have never felt so insulted in my life, and my cousin who has really bad anxiety has just been given a massive blow...",Anger,
"I have never left a spa feeling dirty and smelling of chip fat before, nor do I want to again!",Disgust,
I have no doubt we will not receive any form of compensation and suggest you do not leave yourself open to being conned out of money by this health spa like we were!,Anger,
I have now found out we could have paid £6 each and paid for the individual rides but having not been informed of that we have saved our money!,Disgust,
I have spent lots of money here and recommend this establishment to friends and professional colleagues and partake of the drinks and food.,Joy,
"I have spent so much money at that place and felt like I was being treated like a criminal, I will not be returning ever again!!!",Sadness,
I have to say it was one of those lovely experiences you enjoy and find yourself leaving with a good feeling and a smile.,Joy,
I have to say these toilets are the worst toilets I've ever been to they were unclean and smelt awful.,Disgust,
"I have visited the spa for a day once before and had a lovely experience, it's a real treat.",Joy,
I have visited this spa regularly and it is always the one that I recommend as I've always believed it is good value for money.,Trust,
I have wasted so many of my break times that sadly I will never be making another wasted trip.,Sadness,
"I highly doubt I will be going there again, purely based on the customer service provided by the cloakroom attendant and the very aggressive bouncers.",Anger,
"I honestly feel robbed from what could of been a truly magical experience, I wasn't able to enjoy it due to the pain I was in!",Anger,
"I honestly felt scared, threatened, bullied and I left without reacting to this appalling behaviour.",Fear,
"I honestly think this is disgraceful of the museum, and regretfully will not be visiting again unless this senseless arms dealership relationship is abandoned.",Sadness,
I hope after the refurbishment there is an improvement and that it is a more child friendly environment.. perhaps the grumpy security guard will have retired by then..,Anticipation,
I hope all visitors value and respect the special touches that these staff provide their visitors.,Sadness,
I hope Glee do more of these child-friendly shows as we will definitely want to come back as long as the volume is altered.,Anticipation,
I hope it remains for a long time and I hope lots of people support it by going to help it improve.,Sadness,
I hope my next visit will have the feel good factor not the feel bad factor!,Anticipation,
I hope one day this awful woman is treated in the same way as she treated us today !!,Anticipation,
"I hope other visitors have more luck, and it will be luck, as the organisation is clearly not interested in the tourist visitor.",Sadness,
I hope that my review is useful to management and would be very happy to provide further feedback as I have many thoughts on areas of improvement.,Trust,Anticipation
I hope that the garden and cafe continue to be a success and delight visitors long into the future.,Anticipation,
"I hope that the recent renovations will uncover some more treasures, and will come back on another occasion to see what progress has been made with them.",Sadness,
"I hope the good people of Wrexham support this place, so we can see it grow from strength to strength.",Anticipation,
I hope the management will see what they can do to improve things as it could be a really lovely experience.,Sadness,
"I hope the timed ticketing is only for peak periods, it was a very lovely sunny day and we hope to go back again.",Anticipation,
I hope these minor issues can be addressed but I would highly recommend this spa and hope to return myself perhaps for my own birthday.,Anticipation,
I hope they treat their employees well because they don't treat customers well.,Anticipation,Disgust
I hope this lovely town manages to keep its heritage and its tourism trade.,Anticipation,
I hope this ridiculous ongoing parking situation doesn't start to affect business for the lovely shop and cafe here.,Anger,
I hope this shows a little of what kind of an experience one can expect.,Anticipation,Trust
"I hope we can continue to support the National Trust, but sincerely hope we do not have another experience like this.",Anticipation,
I just felt like for the price everyone in there had paid we were all owed a better experience.,Sadness,
I just hope potential visitors with young children read this before your young ones are mentally scarred for life.,Sadness,
"I know the movie is about the angst and frustration of a natural passion being suppressed, but the shrieks becomes very wearisome after a while.",Anger,
"I left as I felt my membership was overpriced for mouldy showers, tiles broken missing in the shower rooms.",Disgust,Anger
"I left feeling dirty and disgusting, with the fear that I had caught some sort of disgusting disease.",Fear,
I left feeling rather disappointed by what was intended to be a special treat for us provided by our friends.,Sadness,
"I left in tears, feeling victimised and embarrassed and felt like no empathy or understanding was given by any staff member.",Sadness,
I left the reception desk feeling very unwelcome and in honesty I felt like I wanted to leave.,Anger,
"I left there feeling awful not for myself but for my friend who it was supposed to be a treat, my friend said to me she had never ever felt so insulted.",Disgust,
"I left with a headache and feeling angry, cheated and treated for a fool.",Anger,
I like Legoland - my kids enjoy the rides and I find it clean and a happy environment.,Trust,
"I like the idea of a picnic hamper, but would have preferred the presentation of the food to be more toddler friendly.",Trust,Joy
"I liked the fact that I could pay by cash or credit card, and that it was a fixed rate ahead of time.",Joy,
I liked the fact that this museum has a bank for you to change money to old money and spend it too.,Surprise,
I love art but it just felt like a waster of the experience to be Frank.,Sadness,
"I love going to the firehouse, food is decent, staff are lovely and friendly and the centre is cleaned weekly!",Joy,
"I love magic and was so disappointed by this show, which I had paid good money for and got the best seats that I could for.",Sadness,
"I love spending time with children, however why is there a spa package at the same time children are able to use the facilities?",Anger,
I love the film pretty woman so when I found out they were making a stage show I was pretty excited to see it.,Anticipation,
"I love this farm, and I hope it will continue to provide lovely memories to the modern generations as it has to me for many years.",Anticipation,
I loved the train trips and the walk down the driveway from the village was lovely with huge trees and pretty buildings to enjoy.,Joy,
I managed with difficulty to squeeze past until I entered another room ... had there been a fire or emergency escape that would have been a nightmare.,Disgust,
I myself felt very awkward and very unwanted as a customer and I sincerely hope other customers are treated better by those amateurs of masseuses.,Anger,
"I need to feel safe when I'm in the forest, and this attitude clearly shows that the management have no interest in protecting me.",Anger,
I needed some cash to pay for the unicorn ride and food for the animals... couldn't find a cash machine anywhere!,Anger,
"I never expected to feel so valued and important, especially when dealing with a large organisation like Longleat.",Surprise,
I only made it to the first interval and had to leave so uncomfortable Totally ruined my birthday treat and such a waste of money.,Anger,
I paid £15 for my ticket & was disgusted that my friends & I were treated like naughty school children.,Disgust,
I paid £40 for the 3 of us and to be honest I feel like I should have paid more!,Anger,
"I paid for food in advance and seemed good value, good food in the buffet and good buffet breakfast.",Joy,
I personally can't enjoy my visit to a zoo if I don't feel that the animals are happy.,Sadness,
I popped into the smokers with excitement and intrigue as it is lovely to visit such an unusual shop full of goodies.,Surprise,
I popped into this shop today looking for gifts as it was one of the few shops left open on the Island.,Anticipation,
I pride myself on taking good care of my feet so I really cannot understand why she was (the best word for it) attacking my feet.,Fear,
I rated this park high to my friends who have never even been to this park and i felt really bad.,Surprise,
"I really do hope that Network Rail's planned upgrade for the station will expose some of the beautiful architecture, etc.",Sadness,
I really do not want to feel bombarded to join the organisation when I already felt robbed.,Anger,
I really don't like leaving reviews like this but am so upset by our experience I felt I needed to share.,Anger,
"I really enjoyed the visit, and would have enjoyed it even more if I got longer at the top for the money that I had paid.",Sadness,
I really hope in the future someone can restore this Kent treasure to its former glory and we can have a Hop Farm to be proud of once again.,Sadness,
"I really hope Kew management can get it fixed, because it means many guest cannot enjoy the experience.",Anticipation,
I really hope these scum bags pay for the way they treat innocent good living people.,Anger,
I received a gift voucher for a facial and did not expect to receive such a wonderful experience.,Surprise,
I regret wasting my time and money just to watch other people enjoy what I paid for.,Anger,
"I remember going here for years! , the pleasure beach offered genuine value for money and guaranteed a good time.",Trust,
"I shall be complaining to the council, the peace hall and her shop with strong letters quoting the myriad laws they were in breach of.",Anger,
I so hope families take the time with their children to have a good look & not just visit the gift shop !!!,Anticipation,
"I spent more time there feeling on edge because of screaming babies than I did feeling relaxed, which is a pity.",Trust,
I started to feel disconcerted during the steep descent as for some reason I expected the car to feel more stable without any swaying.,Fear,
"I stayed in this hotel for one night, my review is not of the hotel but of the ""spa."" I have had spa breaks before but this is in no way a spa break.",Disgust,Anger
